epoch,lr,epoch_seconds,samples_per_sec,grad_norm_mean,nan_batches,peak_gpu_mb,train_loss,train_cls_loss,train_reg_loss,train_iou_loss,train_acc,train_mean_iou,train_iou_hit_0.5,train_iou_hit_0.7,train_precision_vehicle,train_recall_vehicle,train_precision_pedestrian,train_recall_pedestrian,train_precision_cyclist,train_recall_cyclist,train_box_mae_h,train_box_mae_w,train_box_mae_l,train_box_mae_x,train_box_mae_y,train_box_mae_z,train_box_mae_ry,val_loss,val_cls_loss,val_reg_loss,val_iou_loss,val_acc,val_mean_iou,val_iou_hit_0.5,val_iou_hit_0.7,val_precision_vehicle,val_recall_vehicle,val_precision_pedestrian,val_recall_pedestrian,val_precision_cyclist,val_recall_cyclist,val_box_mae_h,val_box_mae_w,val_box_mae_l,val_box_mae_x,val_box_mae_y,val_box_mae_z,val_box_mae_ry
1,0.00020300000000000003,101.26869007898495,73.55679227400019,2.3964564338807137,0,9971.41748046875,1.6368459950211227,0.713539982034314,0.07914585291698414,0.8441601626334652,0.8464381720430108,0.15583983781722122,0.050739247311827954,0.0023521505376344087,0.8674656327106098,0.97023457520205,0.9344262295081968,0.15426251691474965,0.01282051282051282,0.014285714285714285,0.726865469127573,0.39895199880164156,1.3502007287035707,4.805947111498925,0.5466017841651876,14.075043862865817,1.7489865992658882,1.4867188783988368,0.6314214714861903,0.06733745766546062,0.7879599472961987,0.9011356045424181,0.21204005453534022,0.0447561790247161,0.0026720106880427524,0.8967468175388967,0.9984251968503937,0.9759036144578314,0.44021739130434784,0.0,0.0,0.5572636597301455,0.28363400486683,1.2711556778005066,4.012655121848515,0.21813845013329883,11.697955725904935,1.5326570219092155
2,0.000266,70.48413388989866,105.68335863551759,2.831715968347365,0,9971.41748046875,1.4143727415351457,0.5628302670935149,0.06875014333154565,0.7827923291472978,0.9117943548387096,0.21720767197429494,0.0769489247311828,0.004200268817204301,0.912452419793366,0.9919211822660099,0.903448275862069,0.5332428765264586,0.0,0.0,0.5838974784779293,0.24231994104000829,1.0644518226705573,4.203642288843791,0.2088294900873656,12.559679523591072,1.5125818444836525,1.3882723079176846,0.5519934085582843,0.06654919842202105,0.7697297125636695,0.9078156312625251,0.23027028445012585,0.09886439545758183,0.008016032064128256,0.9083694083694084,0.9913385826771653,0.9009009009009009,0.5434782608695652,0.0,0.0,0.5224385309314918,0.24333422360773793,1.189106907459124,4.038157048349629,0.19937509557128988,11.62419386298639,1.6916300404764608
3,0.00032900000000000003,70.51345328101888,105.63941564900146,2.838381354526807,0,9971.41748046875,1.381104451353832,0.5318390579633815,0.06812975599720913,0.7811356404776214,0.9106182795698925,0.21886435968260612,0.08064516129032258,0.003528225806451613,0.9188790560471977,0.9824561403508771,0.8257575757575758,0.5899864682002707,0.0,0.0,0.6123492547901728,0.24278546725550004,1.0663486302539866,4.1940170052231,0.20851866211942446,12.51495966347315,1.587887151907849,1.3826595821138534,0.5311293467013296,0.06577906835732177,0.7857511789701586,0.9138276553106213,0.21424882095020933,0.05143620574482298,0.004008016032064128,0.911913357400722,0.9944881889763779,0.9363636363636364,0.5597826086956522,1.0,0.046511627906976744,0.6843173034046202,0.30426718827160343,1.114474243694094,3.920216129076186,0.1884693159767207,11.562816673385834,1.5504390076947514
4,0.00039200000000000004,70.4058682929026,105.80083991025661,2.887613666954861,0,9971.41748046875,1.3679873943328857,0.5249306066061861,0.06731869728975398,0.7757380880335326,0.9134744623655914,0.22426191244715005,0.0823252688172043,0.004368279569892473,0.9224361347649019,0.981871921182266,0.8244972577696527,0.6111111111111112,1.0,0.02158273381294964,0.6175796136420261,0.2435500120283455,1.0745932972559364,4.08390841432797,0.20026546692655933,12.262578636087397,1.5837116536273752,1.3820469325275204,0.5430280819246589,0.06518216028998673,0.7738366979077886,0.895123580494322,0.22616330607381754,0.08149632598530394,0.0033400133600534404,0.9240698557327259,0.9582677165354331,0.6779661016949152,0.6521739130434783,1.0,0.06976744186046512,0.4235002846421603,0.263149671739312,1.2415709129236663,4.024060373554726,0.19245212015981425,11.080374820278578,1.777261666480748
5,0.0004550000000000001,70.40710632898845,105.79897951200206,2.86271563524841,0,9971.41748046875,1.3556348790404618,0.5160249583823706,0.06683089752351085,0.7727790269800412,0.913138440860215,0.2272209749426893,0.09055779569892473,0.006048387096774193,0.9219385867554569,0.9818754925137904,0.8265682656826568,0.6070460704607046,0.75,0.021739130434782608,0.6132352230369403,0.2262836814888062,1.0492043097813923,4.083095840228501,0.20119984015341727,12.024050020402477,1.5938914116992746,1.335542928877877,0.5128943686017053,0.06372515111166235,0.7589234173815491,0.9064796259185037,0.24107657421726184,0.09819639278557114,0.004676018704074816,0.9199406968124537,0.9771653543307086,0.7762237762237763,0.6032608695652174,1.0,0.11627906976744186,0.5580061228974469,0.21283245691874064,1.0132269633158733,3.807150800624687,0.19886893436123548,10.590796399928763,1.4401288156757852
6,0.0005180000000000001,70.29066517809406,105.9742425416891,2.796513124178815,0,9971.41748046875,1.3424481973853162,0.5038428042204149,0.06616623767761774,0.7724391523227897,0.9156586021505376,0.22756084767721033,0.08282930107526881,0.0045362903225806455,0.9232050333086602,0.9832479306267244,0.8465804066543438,0.6205962059620597,0.42857142857142855,0.02142857142857143,0.6371284588690727,0.22512790144130748,1.1067840905599697,4.063136954461375,0.19898603920654584,11.927643601612377,1.5776785971016012,1.3254480500498371,0.5025852635532677,0.06388358989545084,0.7589792028696599,0.9151636606546426,0.24102079255149295,0.10821643286573146,0.005344021376085505,0.9192956713132795,0.9866141732283464,0.8682170542635659,0.6086956521739131,1.0,0.11627906976744186,0.5238023629249058,0.24712721379343158,1.0037594338457188,3.9185202069177416,0.18542813458439503,10.311658758597925,1.4863124304639552
7,0.0005810000000000001,70.27874024200719,105.9922243106396,2.840814046962287,0,9971.41748046875,1.3277222571834442,0.4962350666843435,0.0659497685490116,0.7655374189858796,0.9168346774193549,0.23446257973230014,0.09811827956989247,0.00571236559139785,0.9241302738712065,0.9846214511041009,0.8515769944341373,0.6202702702702703,0.4444444444444444,0.02857142857142857,0.6261613170305887,0.2209020272217771,1.0413366331849048,4.071274083147767,0.19858025302810053,11.615516160124091,1.606834546212227,1.3160168167425141,0.49614689544430557,0.06530605037569123,0.7545638679263587,0.9071476285905143,0.24543613326812316,0.10955243820975284,0.0006680026720106881,0.9255079006772009,0.968503937007874,0.7625,0.6630434782608695,0.75,0.13953488372093023,0.659702575596954,0.24478884418566543,1.1449377280358242,3.910701774643036,0.1777886853826468,11.203873404360804,1.6271272861885882
8,0.0006440000000000001,70.2564562089974,106.02584306047082,2.6980697672854186,0,9971.41748046875,1.3128973130256898,0.48158828417460126,0.06573679706742687,0.7655722261756979,0.9171706989247311,0.23442777446521226,0.0811491935483871,0.003528225806451613,0.9260909935004642,0.9826600985221675,0.8447653429602888,0.6350067842605156,0.3076923076923077,0.02857142857142857,0.6446416611953448,0.23163420378520924,1.083263607435329,4.136245396829421,0.19321384256885898,11.430970622647193,1.628866046987554,1.3274046516291045,0.49665351563401433,0.06517430159973159,0.7655768355848634,0.9191716766867067,0.23442315832327904,0.1229124916499666,0.008016032064128256,0.9240412979351033,0.9866141732283464,0.8676470588235294,0.6413043478260869,1.0,0.11627906976744186,0.5277981684856122,0.217632153070841,1.0281647966954417,4.182536194622317,0.17792757750353816,12.208146456487194,1.6805640623899165
9,0.0007070000000000002,70.41347112692893,105.78941615550046,2.8863483321282173,0,9971.41748046875,1.298563754045835,0.46945234219874105,0.06540008786545005,0.7637113230202788,0.9144825268817204,0.23628867794108646,0.09879032258064516,0.005376344086021506,0.926961058319359,0.9801024428684003,0.8309090909090909,0.6200814111261872,0.3142857142857143,0.07913669064748201,0.6026051749465287,0.22201223238821952,1.0511807671157263,3.994231072805261,0.19333822784885282,11.523809145855648,1.5560054932871172,1.3330882419007735,0.5188080980209168,0.06344616979002236,0.750833975806902,0.9104876419505677,0.24916602295880008,0.11155644622578491,0.0026720106880427524,0.9246268656716418,0.9755905511811024,0.7870967741935484,0.6630434782608695,1.0,0.046511627906976744,0.6081034272371647,0.23769497696208253,1.0267615130366528,3.916646051502419,0.1896740327935738,10.222601371362517,1.638920403673558
10,0.0007700000000000003,70.33646404603496,105.90523849940276,2.8456204680986303,0,9971.41748046875,1.298389700151259,0.4728398169240644,0.0648223799002427,0.7607275048891703,0.9176747311827957,0.23927249783469784,0.11609543010752688,0.008736559139784945,0.9298147108366086,0.9787234042553191,0.833904109589041,0.6616847826086957,0.28,0.05,0.5367102876145352,0.21609281067566205,1.0506796535625254,4.016295725299466,0.19054918744230784,11.560595625190325,1.5627363715120541,1.2840872999024375,0.46678259041043385,0.06361226008616452,0.753692455465346,0.9225116900467601,0.24630754919313316,0.08216432865731463,0.0013360053440213762,0.9217836257309941,0.9929133858267717,0.9262295081967213,0.6141304347826086,1.0,0.16279069767441862,0.7619281073132593,0.2140316039463163,1.02887022391748,4.118357962262415,0.19252194893224764,9.725128316528892,1.6680541513120641
